Date,Neutral,Hname,Hscore,Hfouls,Hblocks,Hsteals,Hturnovers,Hassists,Hteam-rebounds,Hrebounds,Hoff-rebounds,Hft-attempted,Hft-made,Htreys-attempted,Htreys-made,Hfg-attempted,Hfg-made,Hminutes,Aname,Ascore,Afouls,Ablocks,Asteals,Aturnovers,Aassists,Ateam-rebounds,Arebounds,Aoff-rebounds,Aft-attempted,Aft-made,Atreys-attempted,Atreys-made,Afg-attempted,Afg-made,Aminutes
11/9/2012,0,Houston,81,18,6,7,19,12,0,49,18,26,21,19,8,61,26,40,Florida A&M,76,23,4,12,12,11,0,29,11,21,12,26,8,71,28,40
11/9/2012,0,IUPUI,67,12,2,5,14,14,0,33,5,8,7,23,8,59,26,40,Utah Valley,54,13,1,5,18,9,0,32,5,10,7,17,5,54,21,40
11/9/2012,0,Baylor,99,18,6,4,16,28,0,41,11,20,13,20,6,62,40,40,Lehigh,77,18,2,8,8,9,0,30,17,18,13,21,8,75,28,40
11/9/2012,1,UTSA,59,23,0,11,16,13,0,23,9,26,12,29,11,55,18,40,Morgan St.,71,17,6,6,23,15,0,51,20,32,19,6,2,53,25,40
11/9/2012,0,Miami (FL),87,13,1,4,11,19,0,38,12,24,16,21,7,61,32,40,Stetson,79,21,1,6,10,20,0,28,7,14,10,31,13,63,28,40
11/9/2012,1,Long Island,74,11,4,11,16,14,0,35,14,33,22,16,2,59,25,40,Morehead St.,77,27,3,10,19,13,0,37,15,8,6,23,9,67,31,40
11/9/2012,1,Connecticut,66,12,10,11,12,13,0,25,6,13,10,13,6,54,25,40,Michigan St.,62,15,3,9,15,9,0,38,17,13,10,17,4,64,24,40
11/9/2012,0,Pittsburgh,80,12,6,10,8,17,0,26,6,16,11,6,1,48,34,40,Mount St. Mary's,48,14,1,5,15,10,0,15,7,8,5,23,9,47,17,40
11/9/2012,0,Charlotte,68,19,6,9,11,7,0,39,16,33,19,13,3,59,23,40,Charleston Sou.,58,25,4,7,17,9,0,42,18,18,12,34,8,65,19,40
11/9/2012,0,Albany,69,22,2,6,12,13,0,32,13,7,6,19,7,61,28,40,Duquesne,66,13,6,4,13,8,0,35,18,23,15,28,7,58,22,40
11/9/2012,0,N.C. State,97,14,6,6,11,23,0,39,5,27,19,19,8,57,35,40,Miami (OH),59,22,2,7,10,12,0,33,15,19,12,26,7,69,20,40
11/9/2012,0,Duke,74,19,6,4,15,17,0,30,5,23,15,24,11,47,24,40,Georgia St.,55,21,0,7,16,4,0,31,9,17,12,14,5,51,19,40
11/9/2012,0,North Carolina,76,11,2,12,18,14,0,47,21,19,9,12,1,71,33,40,Gardner-Webb,59,19,5,11,21,11,0,31,9,14,9,22,6,55,22,40
11/9/2012,1,Florida St.,71,21,1,8,17,9,0,31,11,32,22,21,5,53,22,40,South Alabama,76,26,4,8,19,12,0,31,7,32,25,15,9,50,21,40
11/9/2012,0,Colorado,74,12,6,5,10,10,0,35,7,36,28,12,4,47,21,40,Wofford,59,24,2,3,13,13,0,29,7,2,2,35,13,61,22,40
11/9/2012,0,Georgia Tech,79,17,6,3,10,18,0,45,15,19,12,14,3,57,32,40,Tulane,61,17,1,4,4,6,0,21,6,16,8,12,3,59,25,40
11/9/2012,0,Georgia,68,19,5,13,23,13,0,40,13,38,24,19,4,49,20,40,Jacksonville,62,26,1,11,21,12,0,38,14,22,14,14,2,61,23,40
11/9/2012,0,Northeastern,65,15,4,8,11,13,0,26,3,29,20,15,3,47,21,40,Boston U.,64,20,2,6,13,8,0,37,10,14,11,22,5,61,24,40
11/9/2012,0,Wake Forest,79,19,5,8,18,11,0,32,5,30,20,11,3,44,28,40,Radford,67,28,4,12,12,11,0,29,13,20,10,21,7,66,25,40
11/9/2012,0,St. Bonaventure,65,14,6,5,10,15,0,29,8,25,17,19,6,47,21,40,Bethune-Cookman,55,18,3,1,13,9,0,29,8,11,11,21,6,51,19,40
11/9/2012,0,Penn St.,65,23,3,6,17,8,0,36,12,32,28,24,3,47,17,40,St. Francis (PA),58,23,1,4,16,8,0,19,2,14,9,19,7,45,21,40
11/9/2012,0,Pennsylvania,80,19,2,12,21,17,0,26,5,27,18,16,8,53,27,40,UMBC,75,23,4,14,24,14,0,36,13,14,10,16,7,64,29,40
11/9/2012,0,Richmond,84,18,6,10,13,13,0,45,13,25,16,28,10,59,29,40,Liberty,42,17,1,6,17,6,0,26,3,18,12,19,4,50,13,40
11/9/2012,0,George Mason,63,16,2,5,10,14,0,25,3,19,8,14,7,44,24,40,Virginia,59,20,1,3,12,12,0,30,11,15,9,21,8,52,21,40
11/9/2012,0,High Point,81,20,4,9,13,17,0,35,12,22,16,18,5,68,30,40,N.C. Greensboro,73,17,1,6,17,13,0,32,8,23,13,20,8,60,26,40
11/9/2012,0,Kent St.,66,20,6,4,12,9,0,39,14,31,20,22,6,57,20,45,Drexel,62,24,2,2,16,12,0,38,14,16,11,23,7,60,22,45
11/9/2012,0,Monmouth,91,25,2,17,14,25,0,36,9,13,12,17,7,72,36,40,Hofstra,62,14,5,7,23,10,0,43,19,30,20,19,4,65,19,40
11/9/2012,0,N.C. Asheville,71,16,8,9,20,13,0,42,13,32,23,7,0,52,24,40,Western Carolina,61,25,7,9,15,11,0,37,17,23,12,25,7,66,21,40
11/9/2012,1,Purdue,65,20,4,4,9,16,0,31,9,15,7,16,2,61,28,40,Bucknell,70,15,1,3,8,12,0,32,7,25,20,10,2,57,24,40
11/9/2012,0,Rider,79,26,5,8,16,13,0,32,7,20,17,17,8,53,27,40,Robert Morris,54,24,3,7,16,7,0,30,12,32,24,20,4,51,13,40
11/9/2012,0,Siena,53,23,5,6,17,9,0,35,11,24,11,18,6,49,18,40,Vermont,54,17,4,9,14,7,0,35,10,24,17,13,3,52,17,40
11/9/2012,0,TCU,53,6,5,6,11,9,0,30,6,20,13,10,4,43,18,40,Cal Poly,46,18,1,5,12,10,0,30,11,6,4,15,4,54,19,40
11/9/2012,0,Tennessee,76,22,6,7,13,17,0,26,6,28,17,12,7,43,26,40,Kennesaw St.,67,23,2,4,11,9,0,25,12,25,14,16,5,52,24,40
11/9/2012,0,Xavier,117,16,1,5,9,25,0,41,12,21,18,21,13,61,43,40,Fair. Dickinson,75,17,1,2,7,13,0,8,2,23,17,26,10,57,24,40
11/9/2012,1,Old Dominion,45,16,7,3,17,6,0,41,12,18,9,13,0,46,18,40,Holy Cross,46,16,2,5,12,12,0,30,11,11,6,24,8,54,16,40
11/9/2012,0,Rutgers,52,15,1,3,17,10,0,40,15,18,12,13,2,53,19,40,St. Peter's,56,21,0,8,9,14,0,19,2,14,7,16,5,48,22,40
11/9/2012,1,Rhode Island,55,19,5,8,8,6,0,33,15,30,19,20,6,53,15,40,Norfolk St.,67,25,6,4,13,9,0,40,13,18,12,13,5,56,25,40
11/9/2012,0,Charleston,75,18,6,4,17,11,0,33,12,29,17,9,4,48,27,40,Towson,58,23,4,7,15,5,0,29,14,17,12,12,4,57,21,40
11/9/2012,0,Marshall,81,18,6,12,18,17,0,43,17,28,17,14,6,57,29,40,Longwood,47,22,2,7,18,9,0,21,9,19,11,15,2,57,17,40
11/9/2012,0,Coastal Carolina,74,22,2,8,20,12,0,35,11,25,16,13,6,57,26,45,Akron,70,21,4,13,17,13,0,33,13,26,17,33,11,57,21,45
11/9/2012,0,Cleveland St.,92,22,5,13,13,23,0,35,11,19,16,16,8,59,34,40,Grambling St.,49,19,1,6,16,8,0,21,8,30,24,13,1,46,12,40
11/9/2012,0,Lipscomb,60,22,2,8,24,12,0,34,14,19,10,23,8,54,21,40,Belmont,89,19,6,16,15,14,0,31,8,23,20,27,11,58,29,40
11/9/2012,0,Loyola (MD),71,16,5,9,10,13,0,35,11,14,10,17,5,54,28,40,Binghamton,45,14,0,5,16,7,0,19,3,16,11,11,2,45,16,40
11/9/2012,1,Seton Hall,75,19,3,11,15,19,0,39,10,26,15,24,10,51,25,40,Mo. Kansas City,36,18,1,9,20,6,0,24,6,15,3,15,3,48,15,40
11/9/2012,1,VCU,80,20,3,20,14,22,0,42,21,14,8,30,8,73,32,40,Fla Gulf Coast,57,15,4,8,25,13,0,26,7,21,13,13,4,44,20,40
11/9/2012,0,William & Mary,69,10,4,7,13,20,0,34,4,26,16,21,9,47,22,40,Hampton,51,18,2,5,12,3,0,34,12,16,11,16,2,60,19,40
11/9/2012,0,Indiana,97,16,6,12,17,16,0,46,11,34,29,21,8,54,30,40,Bryant,54,24,1,8,17,10,0,27,11,17,10,29,4,62,20,40
11/9/2012,1,Kansas,74,18,10,5,13,12,0,46,14,28,24,21,2,62,24,40,SE Missouri St.,55,20,2,8,12,6,0,32,8,20,15,16,4,62,18,40
11/9/2012,0,Auburn,61,17,3,10,16,10,0,39,11,21,14,11,3,54,22,40,IPFW,50,18,2,10,17,11,0,32,8,23,16,20,4,52,15,40
11/9/2012,0,Arkansas,73,14,8,9,9,16,0,21,7,32,26,13,3,51,22,40,Sam Houston St.,68,25,4,3,19,13,0,31,10,6,4,23,8,60,28,40
11/9/2012,0,Iowa St.,82,17,9,8,21,12,0,57,20,28,15,21,7,68,30,40,Southern,59,26,2,9,16,12,0,29,5,16,14,25,5,66,20,40
11/9/2012,0,LSU,77,20,4,16,13,15,0,38,17,20,7,26,10,67,30,40,UCSB,63,19,4,6,23,7,0,36,13,29,20,19,5,51,19,40
11/9/2012,0,Minnesota,72,20,10,15,7,17,0,37,19,21,14,22,4,62,27,40,American,36,19,4,4,22,5,0,23,10,23,16,7,2,38,9,40
11/9/2012,1,Saint Louis,76,12,0,8,9,13,0,27,10,22,19,12,3,52,27,40,S.Car. Upstate,59,20,3,5,15,15,0,17,3,6,3,11,6,47,25,40
11/9/2012,0,Texas,55,14,7,2,13,3,0,42,14,24,18,13,1,49,18,40,Fresno St.,53,19,5,6,7,8,0,26,10,11,6,19,5,59,21,40
11/9/2012,0,Texas St.,86,19,5,7,18,17,0,42,11,35,25,19,7,64,27,40,Fordham,76,24,3,12,23,7,0,38,9,24,14,13,4,66,29,40
11/9/2012,0,Troy,56,22,2,4,12,12,0,31,11,7,4,29,10,58,21,40,Mississippi St.,53,16,2,5,16,6,0,31,7,18,11,16,4,43,19,40
11/9/2012,1,Illinois,75,12,2,5,12,14,0,46,18,10,4,30,13,74,29,40,Colgate,55,15,5,5,17,13,0,31,4,11,8,23,7,51,20,40
11/9/2012,0,AR Little Rock,84,19,4,9,14,16,0,39,11,30,22,17,6,61,28,40,Tenn-Martin,68,27,1,3,16,11,0,28,3,24,21,15,5,51,21,40
11/9/2012,0,Austin Peay,75,15,3,4,13,12,0,35,6,17,10,20,9,52,28,40,Samford,64,18,0,9,7,11,0,32,13,12,8,24,2,70,27,40
11/9/2012,0,Loyola Chicago,62,13,2,5,15,13,0,38,10,15,14,20,6,54,21,40,Toledo,50,16,1,6,11,5,0,25,7,10,6,17,4,57,20,40
11/9/2012,1,Nebraska Omaha,77,27,0,11,18,10,0,28,7,31,23,17,6,51,24,40,Northern Illinois,64,23,0,9,23,10,0,34,11,30,17,16,5,50,21,40
11/9/2012,0,Creighton,71,12,6,4,13,14,0,36,5,22,18,18,5,48,24,40,North Texas,51,20,2,6,12,11,0,34,14,10,5,16,2,69,22,40
11/9/2012,0,Iona,65,14,4,6,18,15,0,23,5,12,11,12,6,45,24,40,Denver,58,13,4,7,14,14,0,21,6,13,10,22,6,45,21,40
11/9/2012,1,Kentucky,72,16,11,5,12,12,0,34,12,28,18,13,6,56,24,40,Maryland,69,23,5,6,11,17,0,46,23,21,16,19,3,75,25,40
11/9/2012,0,Lafayette,65,21,4,2,16,16,0,25,8,11,7,23,8,56,25,40,St. Francis (NY),76,17,2,5,14,9,0,39,16,24,13,18,5,58,29,40
11/9/2012,0,Valparaiso,85,17,1,14,13,19,0,28,13,21,18,24,13,51,27,40,Georgia Southern,54,20,2,7,21,8,0,22,9,25,18,13,4,39,16,40
11/9/2012,0,Middle Tenn. St.,97,23,3,10,7,27,0,41,13,29,20,27,11,68,33,40,Alabama St.,53,23,6,2,22,7,0,26,5,27,13,14,6,47,17,40
11/9/2012,0,Gonzaga,103,13,1,18,9,18,0,33,13,30,17,13,6,73,40,40,Southern Utah,65,22,6,4,28,8,0,29,7,11,7,17,4,55,27,40
11/9/2012,0,Colorado St.,72,20,0,5,9,7,0,40,16,41,31,8,1,53,20,40,Montana,65,33,2,3,13,9,0,17,2,23,18,17,7,44,20,40
11/9/2012,0,Bradley,76,14,1,7,11,16,0,33,5,17,13,12,3,52,30,40,Eastern Illinois,53,18,0,5,14,8,0,22,6,16,12,23,7,49,17,40
11/9/2012,0,Mississippi,93,20,8,13,11,14,0,47,20,39,25,27,6,78,31,40,Miss. Valley St.,57,26,1,6,23,7,0,33,11,24,14,21,5,59,19,40
11/9/2012,0,Oklahoma St.,73,18,6,10,9,14,0,28,8,24,19,22,8,57,23,40,UC Davis,65,21,0,6,21,11,0,40,14,19,12,16,7,55,23,40
11/9/2012,1,Oregon St.,102,15,6,7,17,20,0,47,13,24,13,24,13,67,38,40,Niagara,83,21,3,13,12,18,0,32,12,20,9,34,16,76,29,40
11/9/2012,1,Texas A&M,71,18,2,7,12,12,0,34,11,24,18,15,5,55,24,40,Louisiana Tech,59,22,6,7,15,12,0,32,12,18,13,22,6,56,20,40
11/9/2012,1,BYU,81,19,8,4,17,20,0,35,2,25,16,14,5,55,30,40,Tennessee St.,66,24,4,8,17,15,0,37,12,23,14,21,6,68,23,40
11/9/2012,1,DePaul,91,21,2,13,13,17,0,36,11,9,8,21,11,73,36,40,UC Riverside,59,10,0,9,24,8,0,31,10,24,12,17,5,51,21,40
11/9/2012,1,Alabama,70,16,4,8,12,14,0,27,8,14,14,21,6,52,25,40,South Dakota St.,67,14,2,3,13,8,0,21,6,12,9,21,8,50,25,40
11/9/2012,0,Iowa,86,12,10,13,13,18,0,47,17,25,17,16,7,69,31,40,TX Pan American,55,22,4,10,19,7,0,37,12,8,4,24,5,66,23,40
11/9/2012,0,Kansas St.,85,18,5,8,14,16,0,41,14,28,20,24,7,66,29,40,North Dakota,52,25,2,11,19,7,0,32,10,17,12,18,2,63,19,40
11/9/2012,0,Marist,57,19,3,7,14,14,0,38,12,7,4,21,7,64,23,40,Stony Brook,60,17,5,6,16,10,0,36,10,19,14,20,6,56,20,40
11/9/2012,0,New Orleans,72,17,3,8,18,15,0,22,3,24,17,7,1,54,27,40,San Jose St.,68,23,3,13,20,11,0,31,7,17,7,11,3,56,29,40
11/9/2012,0,UTEP,69,15,6,11,7,18,0,25,8,14,8,7,1,64,30,40,Oral Roberts,49,16,5,6,20,11,0,31,10,12,8,13,5,48,18,40
11/9/2012,0,Texas Tech,89,27,5,11,17,10,0,34,11,28,22,23,7,59,30,40,Prairie View A&M,79,23,2,7,17,12,0,28,12,34,26,21,5,60,24,40
11/9/2012,0,CSU Bakersfield,60,22,8,10,15,7,0,36,11,30,21,28,5,64,17,40,TX Arlington,62,25,5,10,21,17,0,42,9,24,14,15,4,59,22,40
11/9/2012,1,AR Pine Bluff,68,20,3,9,14,13,0,38,14,25,12,16,4,61,26,40,Houston Baptist,72,24,0,8,15,12,0,38,14,25,17,18,5,65,25,40
11/9/2012,0,Idaho,70,18,2,3,13,10,0,30,5,29,19,16,5,43,23,40,Wright St.,80,21,0,6,6,12,0,24,7,19,17,25,9,59,27,40
11/9/2012,0,CSU Northridge,81,21,4,11,16,10,0,32,11,27,25,16,6,58,25,40,Pepperdine,75,20,3,6,23,17,0,38,16,26,16,26,9,57,25,40
11/9/2012,0,UCLA,86,19,5,5,16,17,0,49,19,41,28,16,4,56,27,40,Indiana St.,59,27,2,10,14,10,0,28,12,26,16,26,5,60,19,40
11/9/2012,1,Stanford,74,18,2,6,6,15,0,25,1,23,15,15,7,55,26,40,San Francisco,62,22,1,3,15,6,0,41,11,15,9,20,7,59,23,40
11/9/2012,1,USC,87,26,7,4,17,15,0,43,15,28,21,21,8,61,29,40,Coppin St.,73,21,0,8,14,8,0,24,8,33,24,26,9,57,20,40
11/9/2012,1,Hawaii,76,15,1,3,21,19,0,40,8,25,18,15,4,52,27,40,MD Eastern Shore,64,21,2,9,12,14,0,30,10,15,7,28,5,70,26,40
11/10/2012,0,Cornell,63,19,13,8,16,17,0,35,10,14,9,25,8,57,23,40,W. Michigan,55,14,3,8,15,4,0,31,9,25,18,14,3,56,17,40
11/10/2012,0,Buffalo,53,19,7,4,18,8,0,33,9,22,18,11,5,43,15,40,Princeton,57,19,6,8,10,17,0,29,9,16,13,23,6,55,19,40
11/10/2012,0,Notre Dame,58,11,9,3,13,14,0,44,8,30,18,17,4,45,18,40,Evansville,49,22,1,6,7,12,0,33,7,7,6,21,5,61,19,40
11/10/2012,0,Ohio,81,21,5,12,12,15,0,31,8,20,15,17,8,58,29,40,Portland,52,20,3,3,23,13,0,32,10,24,14,14,4,49,17,40
11/10/2012,0,Virginia Tech,80,20,1,5,10,19,0,30,6,24,16,25,10,58,27,40,E. Tennessee St.,62,18,1,5,12,12,0,34,13,25,11,16,3,62,24,40
11/10/2012,1,Army,65,21,3,1,13,12,0,31,11,10,9,34,10,63,23,40,Air Force,76,13,4,10,12,10,0,28,4,26,20,16,6,50,25,40
11/10/2012,1,Butler,74,19,2,6,14,16,0,34,11,11,7,24,9,58,29,40,Elon,59,12,4,5,9,12,0,19,4,15,10,22,7,53,21,40
11/10/2012,0,Dayton,74,18,3,5,14,20,0,29,9,14,10,16,8,53,28,40,Arkansas St.,61,13,5,3,15,14,0,28,12,16,11,22,6,56,22,40
11/10/2012,0,Providence,64,13,6,5,11,10,0,37,14,27,21,21,3,62,20,40,N.J.I.T.,63,18,4,5,13,13,0,36,9,14,12,17,7,60,22,40
11/10/2012,0,Wis. Green Bay,72,18,5,14,30,6,0,40,12,48,41,17,1,48,15,40,Chicago St.,67,36,4,19,27,9,0,30,9,15,14,26,7,63,23,40
11/10/2012,1,Hartford,61,25,1,8,10,9,0,30,6,25,15,15,4,53,21,40,Quinnipiac,65,24,6,2,15,9,0,40,9,23,13,9,2,56,25,40
11/10/2012,0,La Salle,73,13,4,7,7,10,0,33,14,25,23,14,4,63,23,40,Delaware,66,17,8,5,10,6,0,34,13,12,9,8,1,62,28,40
11/10/2012,0,Geo. Washington,73,24,3,3,14,9,0,34,9,38,24,11,3,57,23,40,Youngstown St.,80,26,5,8,12,12,0,43,12,36,24,15,6,57,25,40
11/10/2012,0,Vanderbilt,80,14,2,4,10,17,0,32,6,18,12,26,12,57,28,40,Nicholls St.,65,18,3,2,12,11,0,25,4,11,8,21,7,58,25,40
